Word,Length,SUBTLWF,Ortho_N,Phono_N,Concreteness_Rating,Age_Of_Acquisition,BG_Mean,Pron,NPhon,NSyll,NMorph,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
blankets,8,5.1,0,0,#,3.61,"1,460.86","bl""aN.k@ts",8,2,2,602.185,1
blanks,6,2.82,2,1,#,6.05,"1,441.60","bl""aNks",6,1,2,581.12,1
blare,5,0.39,7,8,#,10.22,"2,676.50","bl""Er",4,1,1,626.222,1
blared,6,0.02,4,3,#,10.22,"3,038.20","bl""Erd",5,1,2,650.885,0.963
blaring,7,1.73,5,3,#,10.22,"3,308.67","bl""Er.IN",6,2,2,630.143,1
blarney,7,0.31,0,0,#,13.54,"1,524.67","bl""Ar.ni",6,2,1,834.773,0.815
blase,5,0.02,5,0,#,12.65,"1,670.50","blA.z""e",5,2,1,849,0.409
blaspheme,9,0.27,1,0,2.31,10.8,"1,316.63","blas.f""im",7,2,1,827.259,1
blasphemed,10,0.08,1,1,#,10.8,"1,668.67","blas.f""imd",8,2,2,873,0.615
blasphemer,10,0.27,1,1,2.58,13.59,"1,855.00","blas.f""im.@`",8,3,2,806.174,0.821
blasphemies,11,0.04,0,0,#,10.72,"1,590.60","bl""as.f@m.iz",9,3,3,784.13,0.92
blasphemous,11,0.43,0,0,1.52,11.25,"1,289.90","bl""as.f@m.@s",9,3,2,736.708,0.889
blasphemy,9,1.47,1,0,2.22,10.72,"1,111.50","bl""as.f@m.i",8,3,2,705.115,0.929
blast,5,16.18,4,3,3.9,7.06,"2,054.00","bl""ast",5,1,1,561.963,1
blasted,7,4.49,1,0,2.52,#,"2,849.33","bl""ast.@d",7,2,2,629.923,1
blasting,8,1.94,1,0,3.04,7.06,"3,401.00","bl""ast.IN",7,2,2,603.741,1
blasts,6,0.92,2,0,#,7.06,"1,844.40","bl""asts",6,1,2,604.172,1
blatant,7,1.14,0,0,2.08,12.28,"2,626.33","bl""e.tn=t",6,2,1,682.846,0.963
blather,7,0.27,0,1,2.23,12.8,"2,769.00","bl""a.D@`",5,2,1,755.238,0.75
blaze,5,2.1,5,8,4.28,7.47,951.75,"bl""ez",4,1,1,619.821,1
blazed,6,0.33,4,3,#,7.47,"1,658.40","bl""ezd",5,1,2,535.593,1
blazer,6,1.22,1,1,4.79,9.6,"1,993.80","bl""ez.@`",5,2,2,595.444,1
blazing,7,1.82,3,2,3.64,7.47,"2,373.67","bl""ez.IN",6,2,2,604.923,0.963
blazonry,8,#,0,0,#,#,"1,238.43","bl""e.zn=.ri",7,3,2,781.5,0.917
bleach,6,2.31,1,7,4.74,8,"1,878.40","bl""itS",4,1,1,579.615,1
bleached,8,0.96,0,0,3.72,#,"2,232.29","bl""itSt",5,1,2,635.038,1
bleachers,9,1.16,0,0,#,#,"2,346.50","bl""itS.@`z",6,2,3,634,1
bleaching,9,0.47,1,3,3.9,#,"2,661.50","bl""itS.IN",6,2,2,635.893,1
bleak,5,1.08,2,9,2.54,10.94,"1,685.50","bl""ik",4,1,1,589,1
bleakly,7,#,0,0,1.68,#,"1,403.83","bl""ik.li",6,2,2,665.64,1
bleary,6,0.04,0,0,2,11.94,"2,002.00","bl""I.ri",5,2,1,660.5,0.96
bleat,5,0.12,6,12,3.83,12.92,"2,648.00","bl""it",4,1,1,617.88,0.962
bleating,8,0.24,0,5,3.52,#,"3,740.43","bl""i4.IN",6,2,2,675.44,0.962
bleats,6,0.08,1,6,#,12.92,"2,319.60","bl""its",5,1,2,658.259,1
bled,4,3.94,4,10,#,4.28,"3,027.00","bl""Ed",4,1,1,599.538,0.929
bleed,5,10.1,3,11,4.4,4.28,"2,487.75","bl""id",4,1,1,646.607,1
bleeding,8,29.73,2,5,4.3,#,"3,234.57","bl""i4.IN",6,2,2,607.481,1
bleedings,9,0.06,0,0,#,#,"2,864.38","bl""i4.INz",7,2,3,585.042,0.96
bleeds,6,1.47,3,5,#,4.28,"2,073.20","bl""idz",5,1,2,612.615,1
bleep,5,2.67,2,6,3.1,9.47,"1,535.00","bl""ip",4,1,1,600.857,1
bleeps,6,0.67,2,3,#,9.47,"1,289.20","bl""ips",5,1,2,683.185,0.964
blemish,7,0.59,1,1,4.07,10.95,"1,838.83","bl""E.mIS",6,2,1,634.333,1
blemishes,9,0.24,0,0,#,10.95,"2,158.88","bl""E.mIS.@z",8,3,2,658.083,1
blend,5,4.27,5,6,3.7,10.17,"2,543.50","bl""End",5,1,1,566.815,1
blended,7,0.75,2,2,3.33,10.17,"2,876.67","bl""En4.@d",7,2,2,575.852,1
blender,7,1.67,3,3,5,6.84,"3,156.17","bl""En4.@`",6,2,2,598.25,1
blending,8,0.51,2,1,3.45,10.17,"3,266.43","bl""En4.IN",7,2,2,625.241,1
blends,6,0.27,2,3,#,10.17,"2,117.80","bl""Endz",6,1,2,648.538,1
blent,5,#,4,3,#,#,"2,857.50","bl""Ent",5,1,1,596.708,0.923
bless,5,35.06,2,4,2.68,5.33,"2,664.00","bl""Es",4,1,1,583.615,1
blessed,7,13.8,0,0,2.1,6.11,"2,862.00","bl""Es.@d",6,2,2,554.929,1
blessing,8,9.71,0,1,2.19,7.63,"3,309.71","bl""Es.IN",6,2,2,672.071,1
blessings,9,4.04,0,0,2.08,7.06,"2,930.13","bl""Es.INz",7,2,3,605.115,1
blest,5,0.1,4,3,#,5.33,"3,162.50","bl""Est",5,1,2,629.217,0.821
blew,4,31.57,5,11,#,4,"1,635.00","bl""u",3,1,1,621.679,1
blight,6,0.57,5,10,2.81,11.73,"1,111.40","bl""aIt",4,1,1,624.44,1
blighted,8,0.12,0,5,2.32,11.73,"2,062.43","bl""aI4.@d",6,2,2,815.2,0.962
blimey,6,1.16,0,1,#,#,"1,358.20","bl""aI.mi",5,2,1,767.773,0.786
blimp,5,1.04,0,0,4.76,6.63,"1,423.00","bl""Imp",5,1,1,632.111,1
blind,5,45.82,4,5,4.03,7,"3,146.25","bl""aInd",5,1,1,555.269,0.963
blinded,7,3.71,2,2,3.36,7,"3,278.50","bl""aIn4.@d",7,2,2,623.857,1
blinders,8,0.47,2,1,#,#,"3,259.57","bl""aIn4.@`z",7,2,3,632.852,1
blindfold,9,1.73,0,0,4.57,8.11,"1,854.38","bl""aInd.f%old",9,2,2,615.037,1
blindfolded,11,1.2,0,0,4.55,8.11,"2,192.10","bl""aInd.f%old.@d",11,3,3,646.893,1
blinding,8,1.47,2,1,3.17,7.21,"3,610.86","bl""aIn4.IN",7,2,2,700.741,0.964
blindly,7,1.1,1,1,2.67,#,"2,406.83","bl""aInd.li",7,2,2,638.04,0.893
blindness,9,1.31,1,1,3.73,7.21,"2,623.00","bl""aInd.n@s",8,2,2,636.769,1
blinds,6,2.14,1,3,#,7,"2,600.00","bl""aIndz",6,1,2,529.68,0.962
blink,5,5.06,4,3,4.39,5.63,"2,777.25","bl""INk",5,1,1,580.679,1
blinked,7,1.27,2,1,4.03,5.63,"2,748.67","bl""INkt",6,1,2,586.852,1
blinkers,8,0.24,1,0,#,8.89,"2,805.43","bl""INk.@`z",7,2,3,631.923,1
blinking,8,2.22,1,0,4.85,5.63,"3,192.71","bl""INk.IN",7,2,2,604.462,1
blip,4,0.8,3,5,3.19,11.31,"1,484.67","bl""Ip",4,1,1,645.148,0.964
blips,5,0.1,4,6,#,11.31,"1,190.00","bl""Ips",5,1,2,624.308,0.929
bliss,5,3.14,2,3,1.37,10.16,"2,064.50","bl""Is",4,1,1,595.519,1
blissful,8,0.53,0,0,2.15,10.05,"1,394.14","bl""Is.fl=",6,2,2,648.37,1
blister,7,0.94,1,1,4.71,6.74,"3,468.17","bl""I.st@`",6,2,1,594.821,1
blistered,9,0.24,1,2,4,6.74,"3,729.50","bl""I.st@`d",7,2,2,656.25,1
blisters,8,1.37,0,1,#,6.74,"3,182.57","bl""I.st@`z",7,2,2,614.074,1
blithe,6,0.22,0,1,#,16.13,"1,835.40","bl""aID",4,1,1,699.263,0.704
blithely,8,0.25,0,0,1.55,#,"1,779.29","bl""aID.li",6,2,2,843.562,0.64
blithesome,10,#,0,0,#,#,"1,934.00","bl""aID.sm=",6,2,2,808.1,0.8
blitz,5,1.25,0,4,2.85,10.4,"1,530.50","bl""Its",5,1,1,587.407,0.964
blitzes,7,0.04,0,0,#,10.4,"1,852.50","bl""Its@z",7,2,#,749.8,0.893
blizzard,8,1.94,0,0,4.68,7.94,"1,194.14","bl""I.z@`d",6,2,1,666.63,1
blizzards,9,0.18,0,0,#,7.94,"1,096.75","bl""I.z@`dz",7,2,2,704.846,1
bloat,5,0.51,3,9,3.04,11.56,"1,812.50","bl""ot",4,1,1,621.704,1
bloated,7,1.69,4,6,3.36,10.72,"2,688.33","bl""o4.@d",6,2,2,624.778,1
bloater,7,0.04,3,3,#,11,"2,967.83","bl""o4.@`",5,2,2,678.885,0.963
blob,4,1.18,5,6,4.06,6.16,"1,002.67","bl""Ab",4,1,1,575.821,1
block,5,40.53,3,8,4.48,4.79,"1,060.00","bl""Ak",4,1,1,552.714,1
blockade,8,1.53,1,0,4.25,10.55,"1,143.71","blA.k""ed",6,2,2,653.846,0.963
blockading,10,0.06,0,0,#,10.55,"2,010.67","blA.k""e4.IN",8,3,3,847.773,0.88
blockage,8,0.67,1,1,3.93,8.89,907,"bl""Ak.IdZ",6,2,2,611.586,1
blockages,9,0.06,0,0,#,8.89,"1,354.75","bl""Ak.IdZ.@z",8,3,3,675.87,0.852
blockbuster,11,1.06,0,0,2.72,11.7,"2,038.00","bl""Ak.b%Vst.@`",9,3,3,629.63,1
blocked,7,6.78,3,5,3.45,4.79,"1,603.83","bl""Akt",5,1,2,576.346,1
blockhead,9,0.8,1,1,2.68,8.8,"1,110.13","bl""Ak.h%Ed",7,2,2,603.593,1
blockhouse,10,0.22,0,0,#,10.58,"1,181.56","bl""Ak.h%aUs",7,2,2,697.385,0.963
blocking,8,5.75,3,5,3.04,4.79,"2,211.43","bl""Ak.IN",6,2,2,625.25,1
blocks,6,15,4,9,#,4.79,896,"bl""Aks",5,1,2,575.929,1
blocky,6,0.02,1,2,#,11.42,866.6,"bl""Ak.i",5,2,2,675.571,1
bloke,5,4.67,1,9,3.89,13.88,944,"bl""ok",4,1,1,614.963,0.964
blokes,6,1.43,0,3,#,13.88,"1,653.00","bl""oks",5,1,2,613.261,0.821
blond,5,10.45,4,4,4.41,6.72,"2,254.25","bl""And",5,1,1,545.667,1
blonde,6,13.92,0,4,4.52,6.06,"2,323.60","bl""And",5,1,1,594.357,1
blondes,7,1.55,0,2,#,6.06,"2,684.50","bl""Andz",6,1,2,632.231,0.963
blonde's,8,#,0,2,#,#,"1,830.00","bl""Andz",6,1,#,661.64,0.962
blood,5,186.12,4,7,4.86,4.89,"1,027.50","bl""Vd",4,1,1,573.071,1
bloodbath,9,1.41,0,0,3.54,11.2,"1,305.38","bl""Vd.b%aT",7,2,2,701.593,1
bloodcurdling,13,0.16,0,0,1.97,12.74,"1,721.33","bl""Vd.k%3`.4l=.IN",10,4,3,845.92,0.926
blooded,7,0.45,2,6,2.79,#,"1,866.00","bl""V4.@d",6,2,2,717.423,0.963
bloodhound,10,0.98,0,0,4.76,11.32,"1,181.67","bl""Vd.h%aUnd",8,2,2,679.893,1
bloodhounds,11,0.65,0,0,#,11.32,"1,105.00","bl""Vd.h%aUndz",9,2,3,747.519,1
bloodiest,9,0.31,0,0,#,5.83,"1,911.75","bl""V4.i.Ist",8,3,3,709.222,0.964
bloodless,9,0.08,0,0,3.15,10.78,"1,737.25","bl""Vd.l@s",7,2,2,702.259,1
bloodlust,9,0.18,0,0,2.31,14.29,"1,254.50","bl""Vd.l%Vst",8,2,2,663.107,1
bloodroot,9,0.12,0,0,#,13.82,"1,060.00","""bl@d%rut",7,2,#,691.08,0.962
bloods,6,0.86,4,4,#,4.89,905,"bl""Vdz",5,1,2,678.481,1
bloodshed,9,1.96,0,0,3.83,11.44,"1,506.75","bl""Vd.S%Ed",7,2,2,643.643,0.966
bloodshot,9,0.51,0,0,4.26,11.29,989.875,"bl""Vd.S%At",7,2,2,586.519,1
bloodstain,10,0.24,0,0,4.67,7,"1,975.67","bl""Vd.st%en",8,2,2,663.667,1
bloodstained,12,0.31,0,1,4.37,7.63,"2,231.00","bl""Vd.st%end",9,2,3,713.963,1
bloodstains,11,0.82,0,1,#,7,"1,963.70","bl""Vd.st%enz",9,2,3,690,1
bloodstock,10,#,0,0,#,#,"1,227.44","bl""Vd.st%Ak",8,2,2,675.308,1
bloodstream,11,1.73,0,0,4.04,9.05,"1,708.00","bl""Vd.str%im",9,2,2,614.571,1
bloodsucker,11,0.35,0,0,3.81,9.56,"1,383.10","bl""Vd.s%Vk.@`",8,3,3,719.577,1
bloodthirsty,12,0.96,0,0,2.45,9.61,"1,189.09","bl""Vd.T%3`st.i",9,3,3,708.667,1
bloody,6,38.47,2,0,4.08,5.83,852,"bl""V4.i",5,2,2,594.36,1
bloom,5,5.51,3,7,4,6.84,"1,198.00","bl""um",4,1,1,587.64,1
bloomed,7,0.2,2,4,#,6.84,"1,836.33","bl""umd",5,1,2,605.192,1
bloomer,7,0.35,1,2,3.68,10.61,"2,115.83","bl""um.@`",5,2,2,682.923,0.963
blooming,8,1.59,0,1,4.07,7.17,"2,425.43","bl""um.IN",6,2,2,640.037,1
blooms,6,0.69,1,2,#,6.84,997.8,"bl""umz",5,1,2,680.423,1
blossom,7,3.61,0,0,4.26,6.61,"1,177.33","bl""A.sm=",5,2,1,639.036,1
blossomed,9,0.35,0,1,3.25,6.61,"1,661.25","bl""A.sm=d",6,2,2,651.536,1
blossoms,8,1.31,0,1,#,6.61,"1,037.29","bl""A.sm=z",6,2,2,619.607,1
blot,4,0.94,6,10,3.44,8.38,"1,184.67","bl""At",4,1,1,609.714,1
blotch,6,0.2,0,4,3.86,9.28,"1,062.00","bl""AtS",4,1,1,638.04,1
blots,5,0.16,4,6,#,8.38,"1,140.00","bl""Ats",5,1,2,617.593,1
blotted,7,0.25,5,10,#,8.38,"2,184.33","bl""A4.@d",6,2,2,598.962,0.929
blotter,7,0.53,2,2,3.83,11.5,"2,463.83","bl""A4.@`",5,2,2,627.074,0.964
blotting,8,0.24,1,6,3.71,8.38,"2,831.00","bl""A4.IN",6,2,2,621.296,0.964
blotto,6,0.2,0,1,#,13,"1,118.40","""blAto",5,2,#,722.19,0.778
blouse,6,5.33,0,3,4.96,6.65,"1,564.60","bl""aUs",4,1,1,582.607,1
blouses,7,0.37,0,0,#,6.65,"2,052.00","bl""aUs.@z",6,2,2,614.333,1
blow,4,97.57,8,10,3.74,4,"1,111.67","bl""o",3,1,1,561.552,1
blowback,8,0.29,0,0,#,13.73,935.714,"bl""o.b%ak",6,2,2,678.143,1
blower,6,0.33,3,5,4.07,8.32,"1,996.20","bl""o@`",4,1,2,593.75,1
blowers,7,0.2,1,0,#,8.32,"1,908.33","bl""o@`z",5,1,3,694.88,0.962
blowfish,8,0.61,0,1,4.69,9.19,"1,172.43","bl""o.f%IS",6,2,2,637.808,0.963
blowfly,7,0.04,0,0,#,#,895,"bl""o.fl%aI",6,2,2,763.652,0.852
blowgun,7,0.06,0,0,4.83,10.89,928.667,"bl""o.g%Vn",6,2,2,717.792,0.923
blowhard,8,0.37,0,0,2.31,13.32,"1,186.43","""blohArd",7,2,#,735.63,1
blowhole,8,0.06,0,0,4.34,9.32,"1,353.57","bl""o.h%ol",6,2,2,744.077,0.929
blowing,7,18.06,4,4,4.21,4,"2,436.17","bl""o.IN",5,2,2,614.038,0.963
blown,5,15.9,4,8,2.88,4,875,"bl""on",4,1,2,573.037,1
blowout,7,1.49,0,0,3.35,9.42,"1,048.33","bl""o.%aUt",5,2,2,638.321,1
blowpipe,8,0.08,0,0,4.42,11.82,908.286,"bl""o.p%aIp",6,2,2,666.88,0.962
blows,5,15.55,6,12,#,4,861.75,"bl""oz",4,1,2,554.593,1
blowtorch,9,0.84,0,0,4.93,9.94,"1,177.13","bl""o.t%OrtS",7,2,2,795.32,1
blowup,6,0.29,0,0,3.65,7.11,748.8,"bl""o.%Vp",5,2,2,682.923,0.963
blubber,7,0.84,0,0,3.93,7.84,"1,555.50","bl""V.b@`",5,2,1,626.741,0.964
bludgeon,8,0.24,0,0,3.81,13.5,"1,187.86","bl""V.dZ@n",6,2,1,873.25,0.741
blue,4,102.39,4,11,3.76,3.53,721.333,"bl""u",3,1,1,547.111,1
Bluebeard,9,0.24,0,0,3.35,9.73,"1,083.63","bl""u.b%Ird",7,2,2,716.13,0.821
bluebell,8,0.02,0,0,#,9.31,944.571,"bl""u.b%El",6,2,2,634.708,0.923
blueberries,11,1.08,0,0,#,6.22,"1,861.70","bl""u.b%E.riz",8,3,3,665.857,1
blueberry,9,2.57,0,0,4.96,6.22,"1,329.38","bl""u.b%E.ri",7,3,2,602.889,0.964
bluebird,8,0.76,0,0,4.97,5.37,636.571,"bl""u.b%3`d",6,2,2,673.111,1
bluecoat,8,#,0,0,4.04,#,"1,505.71","""blu%kot",6,2,#,693.038,1
bluefish,8,0.16,0,1,4.79,8.76,"1,066.43","bl""u.f%IS",6,2,2,677.852,1
bluejacket,10,0.04,0,0,#,11.56,776,"bl""u.dZ%a.k@t",8,3,2,713,0.964
bluejay,7,0.35,0,0,4.97,5.838,458.167,"bl""u.dZ%e",5,2,2,661.815,1
blueprint,9,1.24,0,0,4.77,9.39,"2,121.13","bl""u.pr%Int",8,2,2,612,1
blueprints,10,2.63,0,0,#,9.39,"1,997.22","bl""u.pr%Ints",9,2,3,666.5,1
blues,5,10.25,1,5,2.31,9.81,"1,663.25","bl""uz",4,1,2,538,1
bluff,5,6.22,1,4,3,8.82,572.25,"bl""Vf",4,1,1,579.571,1
bluffing,8,5.04,0,1,#,8.82,"1,986.14","bl""Vf.IN",6,2,2,640.593,1
bluffs,6,0.45,0,0,#,8.82,465,"bl""Vfs",5,1,2,622.038,1
bluing,6,0.02,0,3,#,3.53,"2,602.20","""bluIN",5,2,#,804.211,0.792
bluish,6,0.14,0,1,2.68,8.25,"1,250.20","bl""u.IS",5,2,2,763,0.857
blunder,7,0.9,3,2,2.35,10.61,"2,357.00","bl""Vn.4@`",6,2,1,605.259,0.964
blundered,9,0.12,0,2,#,10.61,"2,896.13","bl""Vn.4@`d",7,2,2,706.111,0.964
blunderings,11,#,0,0,#,#,"2,810.30","bl""Vn.4@`.INz",9,3,3,770.24,0.926
blunders,8,0.25,1,2,#,10.61,"2,230.14","bl""Vn.4@`z",7,2,2,604.621,1
blunt,5,4.9,2,3,3.07,11.05,"1,658.75","bl""Vnt",5,1,1,587.393,1
blunted,7,0.14,2,3,2.93,11.72,"2,585.83","bl""Vn4.@d",7,2,2,601.393,1
blunter,7,#,3,2,#,#,"2,865.33","bl""Vn4.@`",6,2,2,600.615,0.963
bluntly,7,0.49,0,0,2.03,#,"1,433.17","bl""Vnt.li",7,2,2,711.704,1
bluntness,9,0.22,0,0,2.11,11.06,"1,879.25","bl""Vnt.n@s",8,2,2,677.321,1
blunts,6,0.35,0,0,#,11.05,"1,528.20","bl""Vnts",6,1,2,624.84,0.962
blur,4,2.14,2,5,3.3,8.95,"1,038.33","bl""3`",3,1,1,597.926,1
blurb,5,0.25,0,4,3.04,11.56,844.25,"bl""3`b",4,1,1,579.111,1
blurred,7,0.73,1,6,3.52,8.95,"2,120.00","bl""3`d",4,1,2,612.464,1
blurry,6,1.37,1,2,3.7,7.28,865.4,"bl""3`.i",4,2,2,606,1
blurted,7,0.24,2,6,#,8.76,"2,166.33","bl""3`4.@d",6,2,2,645.571,0.966
blush,5,2.67,4,6,4.41,7.95,"1,131.00","bl""VS",4,1,1,626,1
blushed,7,0.14,3,3,#,7.95,"1,793.00","bl""VSt",5,1,2,588.28,1
blushes,7,0.25,2,1,#,7.95,"1,793.67","bl""VS.@z",6,2,2,606.846,0.929
blushing,8,2,2,3,3.72,7.95,"2,346.29","bl""VS.IN",6,2,2,623.111,1
bluster,7,0.2,4,3,#,11.79,"2,891.83","bl""V.st@`",6,2,1,650.654,0.929
blustered,9,0.02,3,4,#,11.79,"3,297.25","bl""V.st@`d",7,2,2,642.538,0.963
blustery,8,0.22,0,1,2.89,9.39,"2,569.29","bl""V.st@`.i",7,3,2,648.92,0.893
boa,3,1.29,9,9,4.92,9.56,592,"b""o@",3,1,1,652.643,1
boar,4,2.18,6,35,4.8,9.83,"1,383.00","b""Or",3,1,1,670.926,1
board,5,64.16,2,25,4.57,6.37,"1,194.25","b""Ord",4,1,1,607.333,1
boarded,7,2.08,2,7,#,6.37,"1,977.17","b""Or4.@d",6,2,2,689.154,0.963
boarder,7,0.57,1,5,3.52,9.35,"2,256.67","b""Or4.@`",5,2,2,667.571,1
boarding,8,11.06,0,3,3.44,9,"2,495.43","b""Or4.IN",6,2,2,699.593,0.964
boardinghouse,13,0.12,0,0,4.5,10.95,"2,025.92","b""Or4.IN.h%aUs",9,3,3,861.038,0.963
boardinghouses,14,#,0,0,#,#,"2,215.39","b""Or4.IN.h%aUz.@z",11,4,4,889.63,1
boardroom,9,0.76,0,1,4.66,10.81,"1,182.38","b""Ord.r%um",7,2,2,765.519,1
boards,6,4.35,1,13,#,6.37,"1,038.40","b""Ordz",5,1,2,588.037,1
board's,7,#,0,13,#,#,977.5,"b""Ordz",5,1,2,603,1
boardwalk,9,1.84,0,0,4.78,8.94,"1,084.00","b""Ord.w%Ok",7,2,2,643.111,1
boast,5,1.06,6,18,2.32,8.22,"1,550.25","b""ost",4,1,1,574.148,1
boasted,7,0.27,6,9,#,8.22,"2,513.50","b""ost.@d",6,2,2,597.885,1
boaster,7,0.04,5,6,2.46,11.12,"2,793.00","b""ost.@`",5,2,2,838.125,1
boastfully,10,#,0,0,2.34,#,"1,208.67","b""ost.fl=.i",7,3,3,674.889,1
boasting,8,0.65,3,6,2.52,8.22,"3,113.14","b""ost.IN",6,2,2,633.269,1
boasts,6,0.31,5,12,#,8.22,"1,441.40","b""osts",5,1,2,643.536,1
boat,4,95.78,9,31,4.93,3.84,"1,788.33","b""ot",3,1,1,617.036,1
boaters,7,0.06,0,8,#,7.06,"2,898.50","b""o4.@`z",5,2,3,681.44,0.962
boathouse,9,0.76,0,0,4.78,10.21,"1,632.00","b""ot.h%aUs",6,2,2,630.143,0.966
boathouses,10,#,0,0,#,#,"1,949.44","b""ot.h%aUz.@z",8,3,3,754.852,0.964
boating,7,1.02,3,15,3.85,8.45,"3,492.67","b""o4.IN",5,2,2,632.63,1
boatload,8,0.47,0,0,3.44,11,"1,246.43","b""ot.l%od",6,2,2,752.308,0.963
boatloads,9,0.12,0,0,#,11,"1,142.50","b""ot.l%odz",7,2,3,689.929,1
boatman,7,0.59,1,0,4.73,8.72,"1,770.00","b""ot.m@n",6,2,2,593.296,1
boatmen,7,0.1,1,0,#,8.72,"1,835.67","b""ot.m@n",6,2,2,674.074,0.964
boats,5,11.75,5,13,#,3.84,"1,592.75","b""ots",4,1,2,607.929,1
boat's,6,#,1,13,#,#,"1,299.40","b""ots",4,1,2,590.069,1
boatsmen,8,#,0,0,#,#,"1,779.14","b""ots.m%En",7,2,#,697.179,1
boatyards,9,0.08,0,0,#,8.63,"1,273.63","b""ot.j%Ardz",8,2,3,755.714,0.966
bob,3,91.49,16,21,3.68,6.158,561.5,"b""Ab",3,1,1,569.148,1
bobbed,6,0.18,3,9,3.32,6.158,"1,328.20","b""Abd",4,1,2,607.074,1
bobbin,6,0.14,0,2,#,9.88,"1,761.80","b""A.b@n",5,2,1,704.12,0.962
bobbing,7,0.61,3,4,3.54,6.158,"2,121.33","b""Ab.IN",5,2,2,689.185,0.964
bobbles,7,#,2,5,#,#,"1,730.50","b""A.bl=z",5,2,2,668.607,1
Bobby,5,69.55,4,12,#,#,342.5,"b""A.bi",4,2,2,540.852,1
bobcat,6,0.39,0,0,4.93,7.06,"1,423.60","b""Ab.k%at",6,2,2,622.92,0.962
bobolink,8,0.02,0,0,#,17.5,"1,873.43","b""A.b@.lINk",8,3,1,905.786,0.636
Bob's,5,#,3,13,#,#,538,"b""Abz",4,1,2,578.923,1
bobsled,7,0.94,0,0,4.9,9.38,"1,613.00","b""Ab.sl%Ed",7,2,2,675.429,1
bobsleigh,9,0.24,0,0,4.77,8.69,849.5,"b""Ab.sl%e",6,2,2,779.179,1
bobtail,7,0.1,0,0,4.59,9.59,899.667,"b""Ab.t%el",6,2,2,786.821,1
bock,4,0.39,13,30,#,#,785,"b""Ak",3,1,1,696.278,0.667
bod,3,0.75,18,30,#,#,649.5,"b""Ad",3,1,1,605.913,0.885
bode,4,0.47,10,30,1.88,10.93,"1,300.00","b""od",3,1,1,672.654,0.929
bodes,5,0.2,6,14,#,10.93,"2,097.25","b""odz",4,1,2,738.826,0.821
bodice,6,0.22,0,2,4.78,14.5,"1,420.00","b""A.4@s",5,2,1,814.611,0.783
bodied,6,0.04,1,1,2.52,4.28,"1,782.80","b""A.4Id",5,2,1,670.963,1
bodies,6,33.22,2,3,#,4.28,"1,783.60","b""A.4iz",5,2,2,611.143,1
bodily,6,2.12,0,1,2.69,8.17,"1,230.40","b""A.4@.li",6,3,2,615.963,1
body,4,195.53,4,16,4.79,4.28,483,"b""A.4i",4,2,1,583.964,1
bodybuilder,11,0.27,0,0,4.43,10.75,"1,297.30","b""A.4i.b%Ild.@`",9,4,3,712.185,1
bodybuilders,12,0.1,0,0,#,10.75,"1,312.91","b""A.4i.b%Ild.@`z",10,4,4,751.926,0.964
bodybuilding,12,0.31,0,0,3.93,10.56,"1,536.46","b""A.4i.b%Ild.IN",10,4,3,731.929,1
bodyguard,9,5.73,0,0,4.75,10,734.5,"b""A.4i.g%Ard",8,3,2,694.185,0.964
